County,Category,Taxonomic Group,Taxonomic Subgroup,Scientific Name,Common Name,Year Last Documented,NY Listing Status,Federal Listing Status,State Conservation Rank,Global Conservation Rank,Distribution Status
Albany,Animal,Birds,Sparrows and Towhees,Ammodramus henslowii,Henslow's Sparrow,1992,Threatened,not listed,S3B,G4,Recently Confirmed
Albany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Bartramia longicauda,Upland Sandpiper,1983,Threatened,not listed,S3B,G5,Recently Confirmed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Circus cyaneus,Northern Harrier,2002,Threatened,not listed,"S3B,S3N",G5,Recently Confirmed
Albany,Animal,Birds,Wrens,Cistothorus platensis,Sedge Wren,1991,Threatened,not listed,S3B,G5,Recently Confirmed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eagle,2016,Threatened,not listed,"S2S3B,S2N",G5,Recently Confirmed
Albany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ixobrychus exilis,Least Bittern,2013,Threatened,not listed,"S3B,S1N",G5,Recently Confirmed
Albany,Animal,Birds,Grebes,Podilymbus podiceps,Pied-billed Grebe,2012,Threatened,not listed,"S3B,S1N",G5,Recently Confirmed
Albany,Animal,Birds,"Rails, Coots and Cranes",Rallus elegans,King Rail,1984,Threatened,not listed,S1B,G4,Recently Confirmed
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Callophrys irus,Frosted Elfin,2017,Threatened,not listed,S1S2,G3,Recently Confirmed
Albany,Plant,Ferns and Fern Allies,Ferns,Botrychium oneidense,Blunt-lobe Grape Fern,1929,Threatened,not listed,S2S3,G4,Recently Confirmed
Albany,Plant,Ferns and Fern Allies,Ferns,Pellaea glabella ssp. glabella,Smooth Cliff Brake,2012,Threatened,not listed,S2,G5T5,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Agastache nepetoides,Yellow Giant-hyssop,2007,Threatened,not listed,S2S3,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Agrimonia rostellata,Woodland Agrimony,1933,Threatened,not listed,S2,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Boechera grahamii,Purple Rock Cress,not available,Threatened,not listed,S2,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Borodinia missouriensis,Green Rock Cress,1997,Threatened,not listed,S2,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Grasses,Calamagrostis stricta ssp. inexpansa,New England Northern Reed Grass,not available,Threatened,not listed,S2,G5T5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Cardamine douglassii,Purple Cress,not available,Threatened,not listed,S2S3,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Sedges,Carex backii,Back's Sedge,1987,Threatened,not listed,S2S3,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Sedges,Carex buxbaumii,Brown Bog Sedge,not available,Threatened,not listed,S2,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Sedges,Carex cumulata,Clustered Sedge,1919,Threatened,not listed,S2S3,G4?,Historically Confirmed
Albany,Plant,Flowering Plants,Sedges,Carex davisii,Davis' Sedge,1997,Threatened,not listed,S2,G4,Recently Confirmed
Albany,Plant,Flowering Plants,Sedges,Carex glaucodea,Glaucous Sedge,1920,Threatened,not listed,S2,G5T5,Historically Confirmed
Albany,Plant,Flowering Plants,Sedges,Carex jamesii,James' Sedge,2005,Threatened,not listed,S2S3,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Sedges,Carex lupuliformis,False Hop Sedge,1957,Threatened,not listed,S2,G4,Historically Confirmed
Albany,Plant,Flowering Plants,Sedges,Carex molesta,Troublesome Sedge,2013,Threatened,not listed,S2S3,G4,Recently Confirmed
Albany,Plant,Flowering Plants,Sedges,Carex retroflexa,Reflexed Sedge,not available,Threatened,not listed,S2S3,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Grasses,Cenchrus tribuloides,Dune Sandspur,1890,Threatened,not listed,S2,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Sedges,Cyperus lupulinus ssp. lupulinus,Great Plains Flatsedge,1950,Threatened,not listed,S1S2,G5T5?,Historically Confirmed
Albany,Plant,Flowering Plants,Orchids,Cypripedium arietinum,Ram's-head Lady's Slipper,1980,Threatened,not listed,S2,G3,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Desmodium ciliare,Little-leaf Tick Trefoil,1910,Threatened,not listed,S2S3,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Geum virginianum,Rough Avens,1991,Threatened,not listed,S2,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Hedeoma hispida,Rough Pennyroyal,1995,Threatened,not listed,S2S3,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Hydrastis canadensis,Goldenseal,2013,Threatened,not listed,S2,G3G4,Recently Confirmed
Albany,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Liatris scariosa var. novae-angliae,Northern Blazing Star,not available,Threatened,not listed,S2,G5?T3,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Linum sulcatum,Yellow Wild Flax,1939,Threatened,not listed,S2,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Oxalis violacea,Violet Wood Sorrel,2004,Threatened,not listed,S2S3,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Pedicularis lanceolata,Swamp Lousewort,1948,Threatened,not listed,S2S3,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Rotala ramosior,Tooth Cup,not available,Threatened,not listed,S2,G5,Possible but not Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Sagittaria montevidensis ssp. spongiosa,Spongy Arrowhead,not available,Threatened,not listed,S2,G5T4,Historically Confirmed
Albany,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Solidago ohioensis,Ohio Goldenrod,not available,Threatened,not listed,S2,G4,Possible but not Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Sparganium natans,Small Bur-reed,not available,Threatened,not listed,S2,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Grasses,Sporobolus heterolepis,Prairie Dropseed,1962,Threatened,not listed,S2,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Stachys hyssopifolia var. hyssopifolia,Rough Hedge Nettle,not available,Threatened,not listed,S2,G5T4T5,Historically Confirmed
Albany,Plant,Flowering Plants,Orchids,Triphora trianthophoros ssp. trianthophoros,Nodding Pogonia,not available,Threatened,not listed,S2,G3G4T3T4,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Utricularia radiata,Small Floating Bladderwort,not available,Threatened,not listed,S2,G4,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Veronicastrum virginicum,Culver's Root,not available,Threatened,not listed,S2,G4,Historically Confirmed
Albany,Animal,Mammals,Bats,Myotis septentrionalis,Northern Long-eared Bat,2014,Threatened,Threatened,S1,G1G2,Recently Confirmed
Albany,Animal,Reptiles,Snakes,Crotalus horridus,Timber Rattlesnake,not available,Threatened,not listed,S3,G4,Extirpated
Albany,Plant,Flowering Plants,Other Flowering Plants,Agrimonia parviflora,Swamp Agrimony,not available,Rare,not listed,S3,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Angelica venenosa,Hairy Angelica,not available,Rare,not listed,S1,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Asclepias verticillata,Whorled Milkweed,not available,Rare,not listed,S3,G5,Historically Confirmed
Albany,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Bidens bidentoides,Delmarva Beggar-ticks,2001,Rare,not listed,S3,G3G4,Recently Confirmed
Albany,Plant,Flowering Plants,Sedges,Carex bicknellii,Bicknell's Sedge,not available,Rare,not listed,S3,G5T5,Recently Confirmed
Albany,Plant,Flowering Plants,Sedges,Carex bushii,Bush's Sedge,not available,Rare,not listed,S3,G4,Historically Confirmed
Albany,Plant,Flowering Plants,Sedges,Carex cryptolepis,Small Yellow Sedge,not available,Rare,not listed,S3,G4,Recently Confirmed
Albany,Plant,Flowering Plants,Sedges,Carex muehlenbergii var. enervis,Muhlenberg's Veinless Sedge,not available,Rare,not listed,S3,G5T5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Celastrus scandens,American Bittersweet,not available,Rare,not listed,S3,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Sedges,Cyperus erythrorhizos,Red-rooted Flat Sedge,not available,Rare,not listed,S3,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Sedges,Cyperus houghtonii,Houghton's Flat Sedge,not available,Rare,not listed,S3,G4?,Recently Confirmed
Albany,Plant,Flowering Plants,Sedges,Cyperus odoratus,Fragrant Flat Sedge,not available,Rare,not listed,S3,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Sedges,Cyperus schweinitzii,Schweinitz's Flat Sedge,2008,Rare,not listed,S3,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Heteranthera reniformis,Kidney-leaved Mud Plantain,not available,Rare,not listed,S3,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Hypericum ascyron ssp. pyramidatum,Great St. John's Wort,not available,Rare,not listed,S3,G4T4,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Lespedeza frutescens,Violet Bush Clover,not available,Rare,not listed,S3,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Limosella australis,Mudwort,not available,Rare,not listed,S3,G4G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Lobelia nuttallii,Nuttall's Lobelia,not available,Rare,not listed,S3,G4G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Lupinus perennis ssp. perennis,Wild Lupine,not available,Rare,not listed,S3,G5T4?,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Plantago cordata,Heart-leaved Plantain,2001,Rare,not listed,S3,G4,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Polygonum tenue,Slender Knotweed,not available,Rare,not listed,S3,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Sagittaria subulata,Strap-leaf Arrowhead,not available,Rare,not listed,S3,G4,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Scheuchzeria palustris,Pod Grass,not available,Rare,not listed,S3,G5,Recently Confirmed
Albany,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Solidago ptarmicoides,Upland Goldenrod,not available,Rare,not listed,S3,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Trichostema brachiatum,False Pennyroyal,not available,Rare,not listed,S3,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Veronica peregrina ssp. xalapensis,Neckweed,not available,Rare,not listed,S3,G5T5,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Viola pedata var. pedata,Bird's-foot Violet,not available,Rare,not listed,S3,G5TNR,Recently Confirmed
Albany,Animal,Fish,Sturgeons and Paddlefish,Acipenser oxyrinchus,Atlantic Sturgeon,not available,Protected - no open season,Endangered,S1,G3,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Schwalbea americana,Chaffseed,1865,not listed,Endangered,SX,G2G3,Extirpated
Albany,Animal,Amphibians,Salamanders,Ambystoma tigrinum,Tiger Salamander,not available,Endangered,not listed,S1S2,G5,Possible but not Confirmed
Albany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco peregrinus,Peregrine Falcon,2009,Endangered,not listed,S3B,G4,Recently Confirmed
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Erynnis persius persius,Persius Duskywing,1963,Endangered,not listed,S1,G5T1T3,Historically Confirmed
Albany,Animal,Butterflies and Moths,Butterflies and Skippers,Plebejus melissa samuelis,Karner Blue,2008,Endangered,Endangered,S1,G5T2,Recently Confirmed
Albany,Plant,Conifers,Conifers,Pinus echinata,Shortleaf Pine,not available,Endangered,not listed,S1,G5,Possible but not Confirmed
Albany,Animal,Fish,Sturgeons and Paddlefish,Acipenser brevirostrum,Shortnose Sturgeon,2013,Endangered,Endangered,S1,G3,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Andersonglossum boreale,Northern Wild Comfrey,1907,Endangered,not listed,S1S2,G5T4T5,Historically Confirmed
Albany,Plant,Flowering Plants,Orchids,Aplectrum hyemale,Puttyroot,1959,Endangered,not listed,S1,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Blephilia ciliata,Downy Wood Mint,1998,Endangered,not listed,S1,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Grasses,Bouteloua curtipendula var. curtipendula,Side-oats Grama,1996,Endangered,not listed,S2,G5T5,Recently Confirmed
Albany,Plant,Flowering Plants,Sedges,Carex amphibola,Ambiguous Sedge,not available,Endangered,not listed,S3,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Sedges,Carex frankii,Frank's Sedge,not available,Endangered,not listed,S2,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Sedges,Carex haydenii,Cloud Sedge,1926,Endangered,not listed,S1S2,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Orchids,Cypripedium parviflorum var. parviflorum,Small Southern Yellow Lady's Slipper,not available,Endangered,not listed,SH,G5T3T5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Desmodium laevigatum,Smooth Tick Trefoil,1928,Endangered,not listed,SH,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Desmodium nuttallii,Nuttall's Tick Trefoil,not available,Endangered,not listed,SH,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Desmodium obtusum,Stiff Tick Trefoil,not available,Endangered,not listed,S1,G4G5,Possible but not Confirmed
Albany,Plant,Flowering Plants,Grasses,Digitaria filiformis var. filiformis,Slender Crab Grass,not available,Endangered,not listed,S1,G5TNR,Possible but not Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Elatine americana,American Waterwort,1937,Endangered,not listed,S1,G4,Historically Confirmed
Albany,Plant,Flowering Plants,Sedges,Eleocharis ovata,Ovate Spike Rush,not available,Endangered,not listed,S1S2,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Hackelia deflexa ssp. americana,Northern Stickseed,1951,Endangered,not listed,S1,G5T5,Historically Confirmed
Albany,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Lactuca hirsuta,Downy Lettuce,not available,Endangered,not listed,S1,G5?,Possible but not Confirmed
Albany,Plant,Flowering Plants,Orchids,Liparis liliifolia,Large Twayblade,1932,Endangered,not listed,S1,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Lithospermum virginianum,Virginia False Gromwell,1923,Endangered,not listed,S1,G4,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Lycopus rubellus,Stalked Bugleweed,not available,Endangered,not listed,S1,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Orchids,Malaxis bayardii,Bayard's Adder's Mouth,1997,Endangered,not listed,S1,G1G2,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Najas muenscheri,Hudson River Water Nymph,2001,Endangered,not listed,S2,G5T1,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Oenothera laciniata,Cut-leaved Evening Primrose,1920,Endangered,not listed,S1,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Persicaria careyi,Carey's Smartweed,1955,Endangered,not listed,S1S2,G4,Recently Confirmed
Albany,Plant,Flowering Plants,"Asters, Goldenrods and Daisies",Petasites frigidus var. palmatus,Sweet Coltsfoot,2001,Endangered,not listed,S1,G5T5,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Physalis virginiana var. virginiana,Virginia Ground Cherry,not available,Endangered,not listed,SH,G5T5,Historically Confirmed
Albany,Plant,Flowering Plants,Orchids,Platanthera ciliaris,Orange Fringed Orchid,not available,Endangered,not listed,S1,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Orchids,Platanthera hookeri,Hooker's Orchid,1937,Endangered,not listed,S1,G4,Historically Confirmed
Albany,Plant,Flowering Plants,Grasses,Poa paludigena,Slender Marsh Blue Grass,1990,Endangered,not listed,S1,G3,Recently Confirmed
Albany,Plant,Flowering Plants,Grasses,Poa sylvestris,Forest Blue Grass,1991,Endangered,not listed,S1,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Polygonum buxiforme,Small's Knotweed,1974,Endangered,not listed,S1S2,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Pterospora andromedea,Pinedrops,1835,Endangered,not listed,S1,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Pycnanthemum verticillatum var. verticillatum,Whorled Mountain Mint,not available,Endangered,not listed,S1S2,G5T5,Historically Confirmed
Albany,Plant,Flowering Plants,Sedges,Scirpus georgianus,Georgia Bulrush,2001,Endangered,not listed,S1S2,G5,Recently Confirmed
Albany,Plant,Flowering Plants,Sedges,Scleria triglomerata,Whip Nut Sedge,1937,Endangered,not listed,S1,G5,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Valeriana uliginosa,Marsh Valerian,1974,Endangered,not listed,S1S2,G4Q,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Viola hirsutula,Southern Wood Violet,not available,Endangered,not listed,SH,G4,Historically Confirmed
Albany,Plant,Flowering Plants,Other Flowering Plants,Viola nephrophylla,Northern Bog Violet,1942,Endangered,not listed,S1,G5,Historically Confirmed
Albany,Animal,Mammals,Bats,Myotis sodalis,Indiana Bat,2010,Endangered,Endangered,S1,G2,Recently Confirmed
Albany,Animal,Mammals,Rodents,Neotoma magister,Allegheny Woodrat,not available,Endangered,not listed,S1,G3G4,Extirpated
Albany,Animal,Reptiles,Turtles,Glyptemys muhlenbergii,Bog Turtle,1960,Endangered,Threatened,S2,G3,Historically Confirmed
Allegany,Animal,Birds,Sparrows and Towhees,Ammodramus henslowii,Henslow's Sparrow,2003,Threatened,not listed,S3B,G4,Recently Confirmed
Allegany,Animal,Birds,"Gulls, Terns, Plovers, Shorebirds",Bartramia longicauda,Upland Sandpiper,2002,Threatened,not listed,S3B,G5,Recently Confirmed
Allegany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Circus cyaneus,Northern Harrier,2007,Threatened,not listed,"S3B,S3N",G5,Recently Confirmed
Allegany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Haliaeetus leucocephalus,Bald Eagle,2016,Threatened,not listed,"S2S3B,S2N",G5,Recently Confirmed
Allegany,Animal,Birds,"Herons, Bitterns, Egrets, Pelicans",Ixobrychus exilis,Least Bittern,2015,Threatened,not listed,"S3B,S1N",G5,Recently Confirmed
Allegany,Animal,Birds,Grebes,Podilymbus podiceps,Pied-billed Grebe,2015,Threatened,not listed,"S3B,S1N",G5,Recently Confirmed
Allegany,Plant,Ferns and Fern Allies,Ferns,Botrychium oneidense,Blunt-lobe Grape Fern,1970,Threatened,not listed,S2S3,G4,Recently Confirmed
Allegany,Plant,Flowering Plants,Sedges,Carex schweinitzii,Schweinitz's Sedge,not available,Threatened,not listed,S2S3,G3G4,Recently Confirmed
Allegany,Plant,Flowering Plants,Other Flowering Plants,Frasera caroliniensis,Green Gentian,2004,Threatened,not listed,S2,G5,Recently Confirmed
Allegany,Plant,Flowering Plants,Other Flowering Plants,Hypericum prolificum,Shrubby St. John's Wort,not available,Threatened,not listed,S2,G5,Historically Confirmed
Allegany,Plant,Flowering Plants,Other Flowering Plants,Jeffersonia diphylla,Twinleaf,1988,Threatened,not listed,S2,G5,Recently Confirmed
Allegany,Plant,Flowering Plants,Other Flowering Plants,Veronicastrum virginicum,Culver's Root,not available,Threatened,not listed,S2,G4,Historically Confirmed
Allegany,Animal,Mammals,Bats,Myotis septentrionalis,Northern Long-eared Bat,2011,Threatened,Threatened,S1,G1G2,Recently Confirmed
Allegany,Animal,Mussels and Clams,Freshwater Mussels,Lasmigona subviridis,Green Floater,2013,Threatened,not listed,S1S2,G3,Recently Confirmed
Allegany,Animal,Reptiles,Snakes,Crotalus horridus,Timber Rattlesnake,1995,Threatened,not listed,S3,G4,Recently Confirmed
Allegany,Plant,Flowering Plants,Sedges,Carex oligosperma,Few-fruited Sedge,not available,Rare,not listed,S3,G5,Recently Confirmed
Allegany,Plant,Flowering Plants,Other Flowering Plants,Clintonia umbellulata,Speckled Wood Lily,not available,Rare,not listed,S3,G5,Historically Confirmed
Allegany,Plant,Flowering Plants,Other Flowering Plants,Lathyrus ochroleucus,Pale Vetchling,not available,Rare,not listed,S3,G5,Historically Confirmed
Allegany,Plant,Flowering Plants,Other Flowering Plants,Polemonium vanbruntiae,Jacob's Ladder,not available,Rare,not listed,S3,G3G4,Historically Confirmed
Allegany,Plant,Flowering Plants,Other Flowering Plants,Scheuchzeria palustris,Pod Grass,1994,Rare,not listed,S3,G5,Recently Confirmed
Allegany,Animal,Birds,Owls,Asio flammeus,Short-eared Owl,1981,Endangered,not listed,S2,G5,Recently Confirmed
Allegany,Animal,Birds,"Hawks, Falcons, Eagles, Vultures",Falco peregrinus,Peregrine Falcon,not available,Endangered,not listed,S3B,G4,Possible but not Confirmed
Allegany,Animal,Fish,Darters and Sunfishes,Etheostoma camurum,Bluebreast Darter,2015,Endangered,not listed,S1,G4,Recently Confirmed
Allegany,Plant,Flowering Plants,Other Flowering Plants,Collinsia verna,Blue-eyed-Mary,not available,Endangered,not listed,SH,G5,Historically Confirmed
Allegany,Plant,Flowering Plants,Other Flowering Plants,Lysimachia hybrida,Lowland Yellow Loosestrife,not available,Endangered,not listed,S1,G5,Historically Confirmed
Allegany,Animal,Reptiles,Snakes,Regina septemvittata,Queen Snake,not available,Endangered,not listed,S1,G5,Historically Confirmed
Atlantic Ocean and Long Island Sound,Animal,Reptiles,Turtles,Caretta caretta,Loggerhead,not available,Threatened,Threatened,S1N,G3,Recently Confirmed
Atlantic Ocean and Long Island Sound,Animal,Reptiles,Turtles,Chelonia mydas,Green Turtle,not available,Threatened,Threatened,S1N,G3,Recently Confirmed
Atlantic Ocean and Long Island Sound,Animal,Mammals,Whales and Dolphins,Balaenoptera borealis,Sei Whale,2014,Endangered,Endangered,SNA,G3,Recently Confirmed
Atlantic Ocean and Long Island Sound,Animal,Mammals,Whales and Dolphins,Balaenoptera musculus,Blue Whale,not available,Endangered,Endangered,SNA,G3G4,Recently Confirmed
Atlantic Ocean and Long Island Sound,Animal,Mammals,Whales and Dolphins,Balaenoptera physalus,Fin Whale,2015,Endangered,Endangered,S1,G3G4,Recently Confirmed
Atlantic Ocean and Long Island Sound,Animal,Mammals,Whales and Dolphins,Eubalaena glacialis,Northern Right Whale,not available,Endangered,Endangered,SNA,G1,Recently Confirmed
Atlantic Ocean and Long Island Sound,Animal,Mammals,Whales and Dolphins,Megaptera novaeangliae,Humpback Whale,2014,Endangered,Endangered,SNA,G4,Recently Confirmed
Atlantic Ocean and Long Island Sound,Animal,Mammals,Whales and Dolphins,Physeter macrocephalus,Sperm Whale,2014,Endangered,Endangered,SNA,G3G4,Recently Confirmed
Atlantic Ocean and Long Island Sound,Animal,Reptiles,Turtles,Dermochelys coriacea,Leatherback,not available,Endangered,Endangered,S1N,G2,Recently Confirmed
Atlantic Ocean and Long Island Sound,Animal,Reptiles,Turtles,Eretmochelys imbricata,Hawksbill Sea Turtle,not available,Endangered,Endangered,SNA,G3,Historically Confirmed
Atlantic Ocean and Long Island Sound,Animal,Reptiles,Turtles,Lepidochelys kempii,Kemp's or Atlantic Ridley,not available,Endangered,Endangered,S1N,G1,Recently Confirmed
