Serial Number,County,License Type Code,License Class Code,Certificate Number,Premise Name,DBA,Premise Address,Premise Address 2,Premise City,Premise State,Premise Zip,License Issued Date,License Expiration Date,Method of Operation,Days/Hours of Operation,Other,Georeference
1272700,KINGS,MI,101,937701,THREEFOLD HOLDINGS LLC,THREES BREWING,333 339 DOUGLAS ST,,BROOKLYN,NY,11217,10/23/2020,10/31/2021,MICROBREWER,,,
3161464,ONTARIO,MI,101,999999,OTHER HALF BREWING COMPANY INC,,6621 STATE RTE 5 & 20,,EAST BLOOMFIELD,NY,14469,11/19/2018,10/31/2021,MICRO BREWERY,,,
2213897,ALBANY,FW,302,910501,100 ACRE WOOD VINEYARD LLC,CLOVER POND VINEYARD,100 MARIPOSA LN,,ALTAMONT,NY,12009,11/27/2018,10/31/2021,FARM WINERY,,,
3149387,SCHUYLER,FW,302,911179,SAWMILL CREEK ESTATE LLC,"HECTOR WINE COMPANY, THE",5610 NYS ROUTE 414,,HECTOR,NY,14841,12/6/2018,12/31/2021,FARM WINERY,,,
2191569,RENSSELAER,FD,106,936048,S&S BREWERY INC,,274 MIDDLE RD,,NASSAU,NY,12123,1/19/2021,1/31/2022,FARM BREWER,,,
2217431,ONEIDA,FD,106,935711,BAGGS SQUARE BREWING COMPANY LLC,,330 MAIN ST STE 1,,UTICA,NY,13501,12/28/2020,1/31/2022,FARM BREWER,,,POINT (-75.22339700000002 43.10377)
3166189,ONTARIO,FD,106,917139,PEACEMAKER BREWING COMPANY LLC,,39 COACH ST,,CANANDAIGUA,NY,14424,2/24/2021,1/31/2022,FARM BREWER,,,POINT (-77.28156 42.884951)
2194613,ST LAWRENCE,DW,301,913093,HIGH PEAKS WINERY LLC,,805 PICKLE ST,,WINTHROP,NY,13697,2/4/2019,2/28/2022,WINERY,,,POINT (-74.855142 44.776813000000004)
2209674,GREENE,MI,101,936999,CROSSROADS BREWING COMPANY CATSKILL LLC,,201 WATER ST,,CATSKILL,NY,12414,2/24/2021,2/28/2022,MICRO BREWER,,,POINT (-73.867529 42.220899)
2214991,ULSTER,FW,302,910925,MAYNARD FARMS INC,,326 RIVER RD,,ULSTER PARK,NY,12487,4/15/2019,3/31/2022,FARM WINERY,,,POINT (-73.962703 41.863392)
2194793,RENSSELAER,FD,106,939773,RARE FORM BREWING COMPANY LLC,,90 CONGRESS ST,,TROY,NY,12180,4/19/2021,4/30/2022,FARM BREWER,,,POINT (-73.689909 42.728685)
3148809,ERIE,DW,301,918056,TEN THOUSAND VINES INC,TEN THOUSAND VINES,8 S BUFFALO ST,,HAMBURG,NY,14075,5/15/2019,5/31/2022,WINERY,,,POINT (-78.829388 42.715538)
2203575,DUTCHESS,FW,302,914905,MILEA ESTATE VINEYARD I LLC,MILEA ESTATE VINEYARD,46 RYMPH RD,,STAATSBURG,NY,12580,4/25/2019,5/31/2022,FARM WINERY,,,POINT (-73.856884 41.831658)
2216191,CAYUGA,FW,302,915856,STERLING CIDERY LLC,,14451 RICHMOND AVE,,FAIR HAVEN,NY,13064,6/28/2019,5/31/2022,FARM WINERY,,,
2196608,OTSEGO,FD,106,939978,ROBERT ROGERS,WILLOW CREEK,319 BLISS GULF RD,,MILFORD,NY,13820,4/22/2021,7/31/2022,FARM BREWER,,,
1295450,QUEENS,FD,106,847484,BRIDGE AND TUNNEL BREWERY LLC,,1535 DECATUR ST,,RIDGEWOOD,NY,11385,7/9/2021,7/31/2022,FARM BREWER,,,POINT (-73.90262 40.69367)
3153553,WAYNE,DD,207,919476,GLENROSE SPIRITS LLC,,5052 COVELL RD,,N ROSE,NY,14516,7/3/2019,8/31/2022,DISTILLER CLASS D,,,POINT (-76.915105 43.185717)
1045804,SUFFOLK,FW,302,921232,PUGLIESE VINEYARDS INC,PUGLIESE VINEYARDS,34876 MAIN RD,,CUTCHOGUE,NY,11935,9/19/2019,9/30/2022,FARM WINERY,,,POINT (-72.472572 41.026461)
3161436,MONROE,MI,101,999999,KNUCKLEHEAD CRAFT BREWING LLC,KNUCKLEHEAD CRAFT BREWING,426 RIDGE RD,,WEBSTER,NY,14580,,10/31/2022,MICROBREWERY,,,POINT (-77.512269 43.205644)
3162591,ERIE,FD,106,999999,LILLY BELLE MEADS LLC,LILLY BELLE MEADS,11 W MAIN ST,,LANCASTER,NY,14086,11/26/2019,10/31/2022,FARM BREWERY,,,POINT (-78.671285 42.90134)
3123472,SENECA,DW,301,921973,SWEDISH HILL VINEYARD INC,SWEDISH HILL WINERY,4565 ROUTE 414,,ROMULUS,NY,14541,10/28/2019,11/30/2022,WINERY,,,
3161364,SCHUYLER,DA,206,999999,FINGER LAKES DISTILLING LLC,,4676 NYS ROUTE 414,,BURDETT,NY,14818,10/11/2018,11/30/2022,DISTILLER A-1,,,
3154232,YATES,FW,302,922276,FOX RUN VINEYARDS INC,FOX RUN,670 ROUTE 14,,PENN YAN,NY,14527,11/12/2019,12/31/2022,FARM WINERY,,,POINT (-76.971746 42.732143)
3154749,WYOMING,DW,301,932670,MAIN STREET WINERY LLC,,249 MAIN ST,STE 2,ARCADE,NY,14009,7/20/2020,4/30/2023,WINERY,,,POINT (-78.42281 42.534232)
1300021,SUFFOLK,MW,307,927417,EYLANT WINE COMPANY LLC,,35 COX NECK RD,,MATTITUCK,NY,11952,6/23/2020,6/30/2023,TENANT MICRO FARM WINERY,,,POINT (-72.554046 40.988801)
3166544,CATTARAUGUS,FW,302,917257,FREEDOM GYPSIES FARM WINERY LLC,,11943 NORTH RD,,FREEDOM,NY,14065,4/15/2021,3/31/2024,FARM WINERY,,,POINT (-78.329208 42.518364000000005)
2216006,ESSEX,MI,101,999999,PARADOX BREWERY LLC,PARADOX BREWERY,2781 US RTE 9,,NORTH HUDSON,NY,12855,4/27/2020,4/30/2024,MICRO BREWERY,,,POINT (-73.730944 43.945219)
3160477,LIVINGSTON,FD,106,999999,RISING STORM BREWING COMPANY LLC,,5750 S LIMA RD,UNIT 1,LIVONIA,NY,14414,6/13/2018,5/31/2024,FARM BREWER,,,
1286495,SUFFOLK,FW,302,846971,ROCKWELL WINES LLC,,35 COX NECK RD,,MATTITUCK,NY,11952,6/28/2021,6/30/2024,FARM WINERY,,,POINT (-72.554046 40.988801)
2210440,DUTCHESS,FW,302,845367,CANOE HILL VINEYARD LLC,ELYSABETH VINEYARDS,309 WOODSTOCK RD,,MILLBROOK,NY,12545,6/7/2021,6/30/2024,FARM WINERY,,,POINT (-73.72498700000001 41.812937)
2205413,CHENANGO,FD,106,936741,BULLTHISTLE BREWING COMPANY LLC,BULLTHISTLE BREWING COMPANY,45 S MAIN ST,,SHERBURNE,NY,13460,2/9/2021,1/31/2022,FARM BREWER,,,POINT (-75.496169 42.672065)
2197161,COLUMBIA,FW,302,935876,PATTY REAGANS BOUDOIR LLC,GREENPOINT CIDERY,4161 RTE 9,,HUDSON,NY,12534,1/8/2021,1/31/2024,FARM WINERY,,,
2210667,WASHINGTON,FD,106,933549,SLATE TOWN BREWING COMPANY LLC,,31 MAIN ST,,GRANVILLE,NY,12832,8/6/2020,7/31/2021,FARM BREWER,,,POINT (-73.260475 43.407572)
2213414,ONONDAGA,FD,106,937961,SKANEATELES BREWERY LLC,,4022 MILL RD,,SKANEATELES,NY,13152,11/5/2020,11/30/2021,FARM BREWER,outdoor patio,,POINT (-76.443602 42.965081)
3161581,ONTARIO,DD,207,84946,HOLLERHORN DISTILLING LLC,,8443 SPIRIT RUN,,NAPLES,NY,14512,1/18/2019,12/31/2021,FARM DISTILLERY,Class D,Licensed deck,
1276776,SUFFOLK,MI,101,933802,SPIDER BITE BREWING CORPORATION,SPIDER BITE BEER COMPANY,920 LINCOLN AVE,UNIT 5,HOLBROOK,NY,11741,8/17/2020,9/30/2021,MICROBREWERY,,"Production of less than 60,000 barrels annually",POINT (-73.083357 40.772821)
2160590,GREENE,MI,101,932802,CROSSROADS BREWING COMPANY INC,,21 SECOND ST,N FRANKLIN & WARREN STREETS,ATHENS,NY,12015,7/28/2020,7/31/2021,MICROBREWERY,,,POINT (-73.809787 42.260569)
2211965,SULLIVAN,DA,206,910617,POMANSKYS DISTILLERY LLC,,23 DIANE BLVD,,WOODRIDGE,NY,12789,12/12/2018,11/30/2021,DISTILLER CLASS A-1,,,POINT (-74.564586 41.709786)
3157837,WYOMING,MI,101,935773,SILVER LAKE BREWING PROJECT LLC,SILVER LAKE BREWING PROJECT,14 BORDEN AVE,,PERRY,NY,14530,12/31/2020,12/31/2021,MICROBREWERY,,,POINT (-78.001924 42.718226)
1331656,WESTCHESTER,FD,106,999999,DUNCAN'S ABBY INC,DUNCAN'S ABBEY,27 STORM ST,,TARRYTOWN,NY,10591,2/2/2021,10/31/2021,FARM BREWER,,,POINT (-73.860653 41.078338)
2216259,HERKIMER,FD,106,932514,HEELPATH BREWING COMPANY INC,,122 MARINA PARK DR,,FRANKFORT,NY,13340,7/8/2020,7/31/2021,FARM BREWER,,,POINT (-75.067459 43.041589)
2201163,ORANGE,FD,106,927149,EQUILIBRIUM BREWERY LLC,,22 HENRY ST,,MIDDLETOWN,NY,10940,6/12/2020,7/31/2021,FARM BREWERY,,Licensed Patio,POINT (-74.422062 41.446158)
2200653,ALBANY,FD,106,937647,"REAL MCCOY LLC, THE",THE REAL MCCOY BEER CO,20 HALLWOOD RD,UNIT C,DELMAR,NY,12054,10/21/2020,10/31/2021,FARM BREWER,,,POINT (-73.831965 42.623687)
2213932,ONONDAGA,DW,301,910619,ANHEUSER BUSCH LLC,,2885 BELGIUM RD,,BALDWINSVILLE,NY,13027,12/12/2018,11/30/2021,WINERY,,,POINT (-76.310483 43.165301)
3012668,SENECA,DC,204,913942,SWEDISH HILL VINEYARD INC,(DISTILLER C),4565 ROUTE 414,,ROMULUS,NY,14541,3/11/2019,3/31/2022,DISTILLER C,,,
1188563,KINGS,MI,101,999999,"MAD SCIENTISTS BREWING PARTNERS,LLC","SIXPOINT CRAFT ALES,SIXPOINT BREWERY",40 VAN DYKE ST,DWIGHT ST & RICHARDS ST,BROOKLYN,NY,11231,10/29/2020,10/31/2021,MICRO-BREWERY,DBA: Sixpoint Brewery,,POINT (-74.01202 40.673837)
2217572,WARREN,FD,106,935533,"ADIRONDACK PUB & BREWERY, INC",,33 CANADA ST,,LAKE GEORGE,NY,12845,12/11/2020,12/31/2021,FARM BREWER,,,POINT (-73.713554 43.418629)
2214028,DUTCHESS,FD,106,937978,KINGS CORNER BREWING COMPANY INC,BLACK SNAKE BREWING COMPANY,148 CREEK RD,,STAATSBURG,NY,12580,11/6/2020,11/30/2021,FARM BREWER,,,POINT (-73.880227 41.862538)
